আছ
আছে
আসামিদের
আত্মীয়স্বজনকে 
আত্মরক্ষা আত্ম+রক্ষা
বেগতিক বে+গতি+ক
বেল্ট বেল্ট
বেপরোয়াভাবে বে+পরোয়া+ভাব+ে
বিভাগই বিভাগ+ই
বিধ্বস্ত বি+ধ্বস্ত
বিষ্নিত বিষ্ন+িত
বিস্নৃতপ্রায় বি+স্নৃত+প্রায়
বিবেচ্য বিবেচ্য
বিবৃতিদাতারা বিবৃতি+দাতা+রা
বিচি বিচি
বিচ্যুতিগুলো বি+চ্যুত+ি+গুলো
বিদ্ধ বিদ্ধ
বিদ্রোহ বিদ্রোহ
বিক্রির বিক্রি+র
বিমানবন্দরে বিমান+বন্দর+ে
বিনাশের বি+নাশ+ের
বিনোদনকেন্দ্রগুলোও বিনোদন+কেন্দ্র+গুলো+ও
বিনিময়েও বিনিময়+ে+ও
বিনিয়োগ বি+নিয়োগ
বিনিয়োগকারী বি+নিয়োগ+কার+ী
বিপণিবিতানের বিপণি+বিতান+ের
বণ্টনও বণ্টন+ও
বৃদ্ধ বৃদ্ধ
বৃহস্পতিবার বৃহস্পতি+বার
বসবাসের বস+বাস+ের, বসবাস+ের
বুন বুন
বহিষ্কারও বহিষ্কার+ও
বহুজাতিক বহু+জাত+িক
বহুদিন বহু+দিন
বহুমুখী বহু+মুখ+ী
বলো বলো
বলেছিল বল+েছ+িল, বল+েছ+ি+ল
বলেই বল+ে+ই
বলিবে বল+িব+ে, বল+ি+ব+ে
বলবেই বল+ব+ে+ই, বল+বে+ই
বন্দিদের বন্দ+ি+দের
বঙ্গবন্ধু বঙ্গ+বন্ধু
বরাবর বরাবর
বর্ষা বর্ষা, বর্ষ+া
বর্ষাকাল বর্ষা+কাল, বর্ষ+া+কাল
বর্ষপূর্তিকে বর্ষ+পূর্ত+ি+কে
ব্যাগ্র ব্যাগ্র
ব্যাকগ্রাউন্ডটা ব্যাক+গ্রাউন্ড+টা
ব্যাটিং ব্যাট+িং
ব্যুরো ব্যুরো
ব্যবসায়ীরা ব্যবসা+য়ী+রা
ব্যবহারেরও ব্যবহার+ের+ও
ব্রিটেনজুড়ে ব্রিটেন+জুড়ে
চাদর চাদর
চাইব চাই+ব
চাকরিজীবী চাকরি+জীব+ী
চালুসহ চালু+সহ
চালুকৃত চালু+কৃত
চাওয়ার চাওয়া+র
চাপাতি চাপাতি
চারের চার+ের
চারদিক চার+দিক
চারপাশেই চার+পাশ+ে+ই
চায়না চায়+না, চায়না
চায়নি চায়+নি
চেষ্টাই চেষ্টা+ই
চিত্কার চিত্কার
চিত্র চিত্র
চিন্তাও চিন্তা+ও
চিরকুমারিত্বের চির+কুমার+ি+ত্ব+ের
চণ্ডীদাস চণ্ডী+দাস
চতুর্থা চতুর্থ+া
চক্ষুশূল চক্ষু+শূল
চলেও চলে+ও
চন্দ্র চন্দ্র
দঁাড়ানো দঁাড়া+নো
দঁাড়াও দঁাড়া+ও
দাফন দাফন
দায়িত্বপূর্ণ দায়িত্ব+পূর্ণ
দায়িত্বটা দায়িত্ব+টা
দৌড়াচ্ছে দৌড়+া+চ্ছ+ে
দৌড়টি দৌড়+টি
দোকানপাটে দোকান+পাট+ে
দোলযাত্রা দোল+যাত্রা
দেখভালকারী দেখ+ভাল+কার+ী
দেখলাম দেখ+ল+াম
দেবকন্যা দেব+কন্যা
দেননি দেন+নি
দেশ দেশ
দেশকেই দেশ+কে+ই
দেউলিয়াই দেউলিয়া+ই
দেয় দে+য়
দেয়ালে দেয়াল+ে
দেড়টায় দেড়+টা+য়
দিনভর দিন+ভর
দিনক্ষণ দিন+ক্ষণ
দিশারি দিশা+রি
দখলদার দখল+দার
দৃষ্টি দৃষ্টি
দুজনের দুজন+ের
দুবারে দু+বার+ে
দুইডা দুইডা, দুই+ডা
দুনিয়ায় দুনিয়া+য়
দুর্ধর্ষ দুর্ধর্ষ
দুর্বৃর্ত্তরা দুর্বৃর্ত্ত+রা
দুর্যোগের দুর্যোগ+ের
দলই দল+ই
দলনিরপেক্ষ দল+নিরপেক্ষ
দলটিকে দল+টি+কে
দরজায় দরজা+য়
দর্জি দর্জি
দর্শকদের দর্শক+দের
দ্বীপদেশটিতে দ্বীপ+দেশ+টি+তে
দ্বিতীয় দ্বিতীয়
দ্বন্ববিষয়ক দ্বন্ব+বিষয়+ক
দ্বন্দ্বটি দ্বন্দ্ব+টি
দ্রাবিড়দের দ্রাবিড়+দের
এখনও এখন+ও
এসো এসো
এসবের এসব+ের
এডুকেশন এডুকেশন
এবার এবার, এ+বার
এগুলোও এ+গুলো+ও
একা একা
একি একি
একমিনিট এক+মিনিট
এটি এটি
থাক থাক
থিয়েটার থিয়েটার
গাইতে গাই+তে
গার্মেন্টসসহ গার্মেন্ট+স+সহ
গাউসনগরের গাউস+নগর+ের
গায়েই গা+য়ে+ই
গোকুলে গো+কুলে
গোল গোল
গোলেও গোল+ে+ও
গোলটিই গোল+টি+ই
গির্জা গির্জা
গণসঙ্গীতের গণ+সঙ্গীত+ের
গণমাধ্যমও গণ+মাধ্যম+ও
গণরুমের গণ+রুম+ের
গুজবের গুজব+ের
গুণকীর্তনের গুণ+কীর্তন+ের
গুনগুন গুন+গুন
গুরুদুয়ারায় গুরু+দুয়ারা+য়
গডফাদারগুলো গড+ফাদার+গুলো
গবেষণায়ও গবেষণা+য়+ও
গল্পটি গল্প+টি
গর্ভস্থ গর্ভ+স্থ
গড়ালে গড়া+লে, গড়া+ল+ে
গ্রাহক গ্রাহক
গ্রিনকার্ডও গ্রিন+কার্ড+ও
হঁাটুপানির হঁাটু+পানি+র
হঁাড়িতেই হঁাড়ি+তে+ই
হাজার হাজার
হাজিরের হাজির+ের
হাইকোর্টের হাই+কোর্ট+ের
হামের হাম+ের
হামলাগুলোর হামলা+গুলো+র
হামলায়ও হামলা+য়+ও
হারেরও হার+ের+ও
হায়াতে হায়াত+ে
হোমিও হোমিও
হেরোইনখোর হেরোইন+খোর
হেয়ারের হেয়ার+ের
হিসেবে হিসেব+ে
হিন্দু হিন্দু, হিন্দ+ু
হৃদয় হৃদয়
হৃদয়ে হৃদয়+ে
হতদরিদ্র হত+দরিদ্র
হুইল হুইল
হুমকি হুমকি
হইতে হইত+ে
হলুদ হলুদ
হলগুলোয় হল+গুলো+য়
হয়ে হয়+ে
হয়েছে হয়+েছ+ে
হ্যান্ডবল হ্যান্ড+বল
হ্রাস হ্রাস
ইসলামী ইসলাম+ী
ইঞ্চির ইঞ্চি+র
ইচ্ছেই ইচ্ছে+ই
ইচ্ছেমতোই ইচ্ছে+মতো+ই
ইলেভেন ইলেভেন
ইলেকশন ইলেকশন
ইমামেরও ইমাম+ের+ও
ইন্স্যুরেন্স ইন্স্যুরেন্স
ইরান ইরান
ইশারাই ইশারা+ই
ইউনিয়নকে ইউনিয়ন+কে
ইউয়িনের ইউয়িন+ের
ইয়র্কার ইয়র্ক+ার
ইংলিশদের ইংলিশ+দের
যাজক যাজক
যাত্রামঞ্চে যাত্রা+মঞ্চ+ে
যাবে যা+ব+ে, যা+বে
যাচ্ছে যা+চ্ছ+ে
যাদবের যাদব+ের
যাওয়াকে যা+ওয়া+কে
যাপনে যাপন+ে
যারা যারা
যেদিকেই যে+দিক+ে+ই
যেহেতু যেহেতু, যে+হেতু
যেমন যেমন
যুদ্ধ যুদ্ধ
যুগিয়েই যুগ+িয়ে+ই
যন্ত্রণায় যন্ত্রণা+য়
কালী কালী
কামারকুণ্ডু কামার+কুণ্ডু
কার্য কার্য
কার্যে কার্য+ে
কার্যবিবরণীসহ কার্য+বিবরণ+ী+সহ
কার্যক্রমকেই কার্য+ক্রম+কে+ই
কাটছে কাট+ছে
কাটেনি কাট+ে+নি
কাউন্টারগুলোর কাউন্টার+গুলো+র
কৌতুক কৌতুক
কৌশলপত্রের কৌশল+পত্র+ের
কোচ কোচ
কোথাকার কোথা+কার
কোমর কোমর
কোনোক্রমে কোনো+ক্রম+ে
কোট কোট
কেউ কেউ
কিস্তি কিস্তি
কিলোমিটার কিলো+মিটার
কৃষি কৃষি
কৃপারাম কৃপা+রাম
কতজন কত+জন
কুসুমকে কুসুম+কে
কুস্তি কুস্তি
কুমন্ত্রণার কু+মন্ত্র+ণা+র
কুয়ালালামপুরে কুয়ালালামপুর+ে
কুড়িতে কুড়ি+তে
কূটকৌশলই কূট+কৌশল+ই
কূটকচালের কূট+ক+চাল+ের
কূটনীতিবিদদের কূট+নীতি+বিদ+দের
কদাচিত কদাচিত
কথাবার্তার কথা+বার্তা+র
কথাটার কথা+টা+র
কলেজও কলেজ+ও
কল্যাণমুখী কল্যাণ+মুখ+ী
কল্পনাসাধ্য কল্পনা+সাধ্য
কমান্ডার্স কমান্ডার্স
কমিটি কমিটি
কমিটিকেও কমিটি+কে+ও
কমিউনিস্টছড়া কমিউনিস্ট+ছড়া
কনস্টেবলদের কনস্টেবল+দের
করে করে
করেছে কর+েছ+ে
করবর্ষ করবর্ষ
করলেও কর+ল+ে+ও, কর+লে+ও
কর্ণধার কর্ণ+ধার
কর্তৃপক্ষ কর্তৃ+পক্ষ
কর্তব্য কর্তব্য
কর্মীদের কর্ম+ী+দের
কর্মচারী কর্ম+চারী
কর্মচারীরা কর্ম+চারী+রা
কর্মযজ্ঞ কর্ম+যজ্ঞ
কটাক্ষে কটাক্ষ+ে
কড়ইতলা কড়ই+তলা
ক্ষেতমজুররা ক্ষেত+মজুর+রা
ক্ষেত্রটি ক্ষেত্র+টি
ক্ষতিগ্রস্তদের ক্ষতি+গ্রস্ত+দের
ক্ষুধাই ক্ষুধা+ই
ক্ষুব্ধতা ক্ষুব্ধ+তা
ক্ষমতা ক্ষমতা
ক্ষমতাহীন ক্ষমতা+হীন
ক্যান্টনমেন্ট ক্যান্টনমেন্ট
ক্যারিয়ারে ক্যারিয়ার+ে
ক্যাশ ক্যাশ
ক্লিয়ারিং ক্লিয়ার+িং
ক্রীড়াচক্রসহ ক্রীড়া+চক্র+সহ
লীগেরই লীগ+ের+ই
লাখ লাখ
লাইনম্যান লাইন+ম্যান
লাইটার লাইটার
লালকুঠি লাল+কুঠি
লালন লালন
লিফলেট লিফলেট
লিফলেটের লিফলেট+ের

লজ্জায় লজ্জা+য়
লণ্ডখণ্ডা লণ্ড+খণ্ড+া
লস্কর লস্কর
লুঙ্গি লুঙ্গি
লঞ্চগুলোকে লঞ্চ+গুলো+কে
লঞ্চটি লঞ্চ+টি
লবিতে লবি+তে
লগ্ন লগ্ন
ললিত ললিত
লংঘন লংঘন
মাস্টার মাস্টার
মাস্টারই মাস্টার+ই
মাস্টারপাড়া মাস্টার+পাড়া
মাদক মাদক
মাদকের মাদকের
মাইক্রোচালক মাইক্রো+চালক
মালটা মাল+টা
মামার মামা+র
মানানো মান+া+নো
মানায় মান+া+য়
মানসিকতারও মানসিক+তা+র+ও
মানসম্মত মান+সম্মত
মানুষটার মানুষ+টা+র
মার্চ মার্চ
মাঝরাতে মাঝ+রাত+ে
মধু মধু
মধ্যেই মধ্য+ে+ই
মধ্যমাঠ মধ্য+মাঠ
মোকাবিলায় মোকাবিলা+য়
মোটরসাইকেলযোগে মোটর+সাইকেল+যোগ+ে
মেলার মেলা+র
মেয়ে মেয়ে
মিনিস্টাররা মিনিস্টার+রা
মিনিটে মিনিট+ে
মজুদও মজুদ+ও
মৃত্যুঞ্জয় মৃত্যু+ঞ্জয়
মৃত্যুদণ্ডের মৃত্যু+দণ্ড+ের
মৃদুল মৃদুল
মস্তানদের মস্তান+দের
মতের মত+ের
মতকে মত+কে
মতপার্থক্যটাকে মত+পার্থক্য+টা+কে
মুখ মুখ
মুখরোচক মুখ+রোচক
মুসলিমকে মুসলিম+কে
মুক্তিযোদ্ধাকে মুক্তি+যোদ্ধা+কে
মূল্যবৃদ্ধি মূল্য+বৃদ্ধি
মডেলের মডেল+ের
মহিষখোঁচা মহিষ+খোঁচা
মহড়া মহড়া
মলমূত্র মল+মূত্র
মনে মন+ে
মনোরথ মনো+রথ
মরণছোবলে মরণ+ছোবল+ে
নীতি নীতি
নাতি নাতি
নাচ নাচ
নালিশি নালিশ+ি
নামেননি নাম+েন+নি, নাম+ে+ন+নি
নামগন্ধ নাম+গন্ধ
নানাবিধ নানা+বিধ
নারী নারী
নারকেল নারকেল
নভোথিয়েটার নভো+থিয়েটার
নোটও নোট+ও
নেতা নেতা
নিচ্ছিল নি+চ্ছ+িল, নি+চ্ছি+ল
নিলেন নিল+েন, নিল+ে+ন
নিরাপত্তাব্যবস্থা নিরাপত্তা+ব্যবস্থা
নিরাপত্তাকে নিরাপত্তা+কে
নির্ভরশীলতাকে নির্ভর+শীল+তা+কে
নির্বাসনই নির্বাসন+ই
নির্মাণে নির্মাণ+ে
নির্মম নির্মম
নিশানা নিশানা
নিশ্বাসে নি+শ্বাস+ে
নিউইয়র্কে নিউইয়র্ক+ে
নিয়মে নিয়ম+ে
নিয়মবহির্ভূতভাবে নিয়ম+বহির্ভূত+ভাব+ে
নিয়ন্ত্রণে নিয়ন্ত্রণ+ে
নজরুলসহ নজরুল+সহ
নগরীতে নগর+ী+তে
নগরীর নগর+ী+র
নগরবাসীর নগর+বাস+ী+র
নন্দী নন্দী
নয়াদিল্লিসহ নয়া+দিল্লি+সহ
ওষুধসামগ্রীর ওষুধ+সামগ্রী+র
পঁাচটিতে পঁাচ+টি+তে
পাসপোর্টটি পাসপোর্ট+টি
পাততে পাত+তে
পাথর পাথর
পারাটাই পার+া+টা+ই
পারছে পার+ছে
পারফরম্যান্সে পারফরম্যান্স+ে
পার্বণে পার্বণ+ে
পাশা পাশা
পাটি পাটি
পেঁৗছার পেঁৗছ+া+র
পেঁয়াজের পেঁয়াজ+ের
পোহাতে পোহা+তে
পোশাকসহ পোশাক+সহ
পোশাকই পোশাক+ই
পেছানোর পেছা+নো+র
পেজ পেজ
পেতে পেতে
পেরেক পেরেক
পেটপুরে পেট+পুর+ে
পেয়েছে পে+য়ে+ছ+ে
পিছনের পিছন+ের
পৃথিবীরই পৃথিবীর+ই
পুকুরগুলো পুকুর+গুলো
পুরস্কার পুরস্কার
পূর্ব পূর্ব
পদগুলোতে পদ+গুলো+তে
পথে পথ+ে
পথশিশুদের পথ+শিশু+দের
পক্ষে পক্ষ+ে
পলাশ পলাশ
পল্লীতথ্য পল্লী+তথ্য
পরীক্ষার্থী পরীক্ষা+র্থী
পরোয়ানায় পরোয়ানা+য়
পরিষদই পরিষদ+ই
পরিসংখ্যানটার পরি+সংখ্যা+ন+টা+র
পরিস্থিতি পরি+স্থিতি
পরিচিতিমূলক পরিচিত+ি+মূলক
পরিচয়ে পরিচয়+ে
পরিদর্শকের পরি+দর্শক+ের
পরস্পরবিরোধী পরস্পর+বি+রোধ+ী
পর্যটনকেন্দ্র পর্যটন+কেন্দ্র
পর্নোদৃশ্য পর্নো+দৃশ্য
পশলা পশলা
প্যান্ট প্যান্ট
প্লেন প্লেন
প্রাণনাশ প্রাণ+নাশ
প্রান্তিকের প্রান্তিক+ের
প্রাপকের প্রাপক+ের
প্রতিষ্ঠাবার্ষিকী প্রতিষ্ঠা+বার্ষিক+ী
প্রতিবেদন প্রতিবেদন
প্রতিদানও প্রতি+দান+ও
প্রতিক্রিয়াকে প্রতি+ক্রিয়া+কে
প্রতিলিপি প্রতি+লিপি
প্রতিমন্ত্রীরা প্রতি+মন্ত্রী+রা
প্রত্যাশার প্রত্যাশা+র
প্রবেশদ্বার প্রবেশ+দ্বার
প্রবহমান প্র+বহ+মান
প্রবলবেগে প্র+বল+বেগ+ে
প্রচার প্রচার, প্র+চার
প্রচারণা প্রচার+ণ+া
প্রচারণায় প্রচার+ণ+া+য়
প্রদর্শনী প্র+দর্শন+ী
প্রকারান্তে প্র+কারান্ত+ে
প্রকাশকরাই প্রকাশ+ক+রা+ই
প্রক্রিয়া প্র+ক্রিয়া
প্ররক্ষা প্র+রক্ষা
রাষ্ট্র রাষ্ট্র
রাজসভা রাজ+সভা
রাজনগরের রাজ+নগর+ের
রাখব রাখ+ব
রাস্তায়ই রাস্তা+য়+ই
রাহুমুক্ত রাহু+মুক্ত
রানক্ষুধাও রান+ক্ষুধা+ও
রোজ রোজ
রোববার রোব+বার
রোদঝলমলে রোদ+ঝলমল+ে
রোগে রোগ+ে
রোপণের রোপণ+ের
রেসিপি রেসিপি
রেস্তোরাঁগুলোয় রেস্তোরাঁ+গুলো+য়
রিজার্ভে রিজার্ভ+ে
রিকশাচালক রিকশা+চালক
রুক্ষ রুক্ষ
রগকাটা রগ+কাট+া
রক্তদহ রক্ত+দহ
শাসক শাসক
শাসনভার শাসন+ভার
শাসনবহির্ভূর্ত শাসন+বহির্ভূর্ত
শান্তি শান্ত+ি
শান্তিরক্ষীদের শান্তি+রক্ষ+ী+দের
শেষ শেষ
শেয়ালে শেয়াল+ে
শিখা শিখা
শিখরে শিখর+ে
শিডিউলগুলো শিডিউল+গুলো
শিবিরকে শিবির+কে
শিক্ষাবিদরা শিক্ষা+বিদ+রা
শিশু শিশু
শিশুর শিশু+র
শুটার শুট+ার
শক্তি শক্ত+ি
শক্তিশালী শক্ত+ি+শালী
শরীফ শরীফ
শরীরে শরীর+ে
শশুরবাড়ি শশুর+বাড়ি
শ্বেত শ্বেত
শ্রেণীর শ্রেণী+র
শ্রমিকসহ শ্রম+িক+সহ
শ্রমবিষয়ক শ্রম+বিষয়+ক
টাস্ক টাস্ক
টানবাজার টান+বাজার
টাঙিয়ে টাঙ+িয়ে
টাউন টাউন
টেস্ট টেস্ট
টেম্পো টেম্পো
টিকতে টিক+তে
টিনএজারদের টিনএজ+ার+দের
ট্যাক্সিক্যাব ট্যাক্সি+ক্যাব
ট্রাকই ট্রাক+ই
ট্রেনেই ট্রেন+ে+ই
উতলা উতল+া
উত্সাহ উত্সাহ
উত্তর উত্তর
উচ্ছ্বাস উচ্ছ্বাস
উচ্চারণই উচ্চারণ+ই
উল্লেখযোগ্যভাবে উল্লেখ+যোগ্য+ভাব+ে
উন্নয়নের উন্নয়ন+ের
উপায় উপায়
উপরিস্থ উপর+ি+স্থ
ঝুলছেই ঝুল+ছে+ই, ঝুল+ছ+ে+ই
ঠেকানোর ঠেকা+নো+র
